gene_id	gene_symbol	case_1	case_2	case_3	case_4	case_5	case_6	case_7	case_8	case_9	case_10	case_11	case_12	case_13	case_14	case_15	case_16	case_17	case_18	case_19	case_20	case_21	case_22	case_23	case_24	case_25	case_26	case_27	case_28	case_29	case_30	case_31	case_32	case_33	case_34	case_35	case_36	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12	control_13
ENSMUSG00000000001	Gnai3	0.0351	-0.0293	0.0188	0.0395	0.0417	0.0647	0.0863	-0.0159	0.0112	-0.0118	0.0195	-0.0198	0.0165	0.0541	0.018	-0.0023	-0.0295	0.0245	-0.145	-0.0677	-0.0795	-0.0644	-0.0438	-0.0586	-0.051	-0.0503	-0.0511	-0.0229	-0.0438	-0.0958	-0.0082	-0.0369	-0.0272	0.0202	0.0158	-0.029	-0.1215	-0.087	-0.1265	-0.0933	-0.1528	-0.1484	-0.2027	-0.1446	-0.1433	-0.1351	-0.1072	-0.0834	-0.1492
ENSMUSG00000000028	Cdc45	-0.9391	-0.9373	-0.8346	-0.9103	-0.9283	-0.9453	-0.9986	-1.2264	-1.1297	-0.971	-1.071	-0.9397	-0.727	-0.8353	-0.7884	-0.7388	-0.692	-0.9937	-1.1768	-0.9327	-0.8427	-0.9415	-1.1504	-0.7391	-0.8809	-0.8676	-0.8718	-1.0522	-0.9486	-1.0563	-0.9873	-0.6756	-0.9613	-0.9638	-1.1067	-1.1404	-1.3225	-1.2148	-1.2611	-1.2232	-1.3064	-1.2843	-1.2857	-1.0932	-1.0529	-1.2115	-1.2308	-1.297	-1.2235
ENSMUSG00000000037	Scml2	-0.5919	-0.5724	-0.5899	-0.5714	-0.5956	-0.5717	-0.7422	-0.7447	-0.6981	-0.5076	-0.6505	-0.601	-0.4882	-0.4151	-0.5342	-0.4944	-0.5665	-0.5414	-0.6323	-0.5619	-0.9996	-0.7446	-0.5034	-0.7101	-0.6374	-0.5512	-0.621	-0.5486	-1.1095	-0.7121	-0.5851	-0.5906	-0.5437	-0.5515	-0.4969	-0.7034	-0.4498	-0.5866	-0.4587	-0.2502	-0.5038	-0.4083	-0.4266	-0.3769	-0.3912	-0.5876	-0.4418	-0.6281	-0.3733
ENSMUSG00000000049	Apoh	-0.1579	-0.1001	-0.1326	-0.1268	-0.0286	-0.1523	-0.139	-0.1062	-0.1311	-0.0039	-0.002	-0.0519	-0.0432	-0.1143	-0.0216	0.1158	0.0483	-0.0285	-0.3469	-0.1279	-0.3467	-0.2553	-0.2049	-0.0884	-0.1612	-0.045	-0.0033	0.0787	0.0063	-0.0489	-0.0387	-0.7992	-0.2085	0.299	0.0485	-0.1261	0.4234	0.0192	0.061	-0.3012	-0.3372	-0.3637	-0.1818	-0.3537	-0.2871	-0.2909	0.3912	-0.2811	-0.4128
ENSMUSG00000000056	Narf	0.037	0.1236	0.0522	0.1517	0.1808	0.1061	0.1157	0.1003	0.0793	0.1573	0.1985	0.1917	0.1852	0.131	0.2	0.1651	0.1754	0.1357	-0.274	-0.0866	-0.0204	0.1442	-0.0411	0.0992	0.1459	0.167	0.1786	0.1245	0.1224	0.1459	0.112	0.1048	0.0556	0.1259	0.1317	-0.0162	-0.1516	-0.1826	-0.1792	-0.1924	-0.1778	-0.1275	-0.1406	-0.1369	-0.1404	-0.207	-0.1157	-0.1173	-0.1631
ENSMUSG00000000058	Cav2	0.1495	0.1581	0.154	0.0141	0.0922	0.0798	0.0174	0.1888	0.2239	0.2142	0.156	0.1983	0.1064	0.1319	0.0973	0.2211	-0.0028	0.2083	0.495	0.3935	0.2877	0.1567	0.2769	0.015	-0.0919	0.117	0.1038	0.1134	0.0609	0.1447	0.0145	0.1548	0.2572	0.1288	0.1278	0.3992	0.7255	0.6698	0.6756	0.7363	0.7308	0.713	0.7506	0.7473	0.7228	0.7909	0.759	0.7462	0.8224
ENSMUSG00000000078	Klf6	0.174	0.1568	0.1671	0.202	0.1526	0.1559	0.1852	0.1927	0.2247	0.2195	0.2042	0.1822	0.1278	0.1487	0.0775	0.1094	0.1118	0.2214	0.3718	0.1728	0.192	-0.007	0.176	-0.0479	-0.0973	0.0281	-0.0889	0.0784	-0.0038	0.0829	0.0052	-0.0644	0.0501	-0.0343	0.1017	0.2226	0.4004	0.3557	0.3594	0.443	0.4533	0.3488	0.3635	0.352	0.3825	0.4405	0.418	0.4014	0.3638
ENSMUSG00000000085	Scmh1	0.1754	0.2533	0.1445	0.1548	0.1309	0.1423	0.2624	0.2464	0.1171	0.1094	0.1058	0.1316	0.1779	0.155	0.2136	0.0967	0.0617	0.1399	0.1728	0.1083	0.1141	0.1251	0.1131	0.176	0.072	0.0838	0.0125	0.1535	0.0098	0.1658	0.0991	0.192	0.1397	0.2603	0.1582	0.1642	0.0008	0.0018	0.2123	0.1178	0.1692	0.1918	0.0908	0.0025	-0.0219	0.0086	0.1904	-0.0261	0.0761
ENSMUSG00000000088	Cox5a	-0.0181	-0.0012	0.0019	-0.0435	-0.0002	-0.0436	-0.0429	-0.0325	-0.018	-0.0448	-0.0184	-0.0338	-0.0458	-0.0153	-0.0672	-0.0263	-0.0287	-0.0206	-0.1582	-0.0587	-0.0175	-0.0687	-0.0449	-0.1487	-0.1084	-0.0958	-0.0684	-0.0319	-0.0132	-0.0478	-0.0654	-0.0173	-0.0056	-0.1084	-0.0584	-0.0678	-0.0374	-0.0141	-0.1495	-0.0892	-0.1289	-0.0902	-0.061	-0.0823	-0.0547	-0.092	-0.0739	-0.1492	-0.0659
ENSMUSG00000000093	Tbx2	0.4202	0.4545	0.4029	0.3241	0.1693	0.3263	0.2456	0.4693	0.5402	0.3541	0.241	0.2878	0.2639	0.3319	0.2174	0.3505	0.3642	0.3542	0.8123	0.6948	0.452	0.3865	0.5656	0.3054	0.3382	0.2179	0.3574	0.2954	0.3203	0.2274	0.324	0.3925	0.5344	0.0811	0.342	0.6161	1.032	0.9599	0.9813	0.7946	0.9146	0.7389	0.7861	0.8251	0.8301	0.8843	0.8712	0.9546	0.9003
