"human_gene_id"	"mouse_gene_id"	"human_symbol"	"mouse_symbol"	"orthology_source"
"ENSG00000198888"	"ENSMUSG00000064341"	"MT-ND1"	"mt-Nd1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198763"	"ENSMUSG00000064345"	"MT-ND2"	"mt-Nd2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198804"	"ENSMUSG00000064351"	"MT-CO1"	"mt-Co1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198712"	"ENSMUSG00000064354"	"MT-CO2"	"mt-Co2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000228253"	"ENSMUSG00000064356"	"MT-ATP8"	"mt-Atp8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198899"	"ENSMUSG00000064357"	"MT-ATP6"	"mt-Atp6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198938"	"ENSMUSG00000064358"	"MT-CO3"	"mt-Co3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198840"	"ENSMUSG00000064360"	"MT-ND3"	"mt-Nd3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000212907"	"ENSMUSG00000065947"	"MT-ND4L"	"mt-Nd4l"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198886"	"ENSMUSG00000064363"	"MT-ND4"	"mt-Nd4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198786"	"ENSMUSG00000064367"	"MT-ND5"	"mt-Nd5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198695"	"ENSMUSG00000064368"	"MT-ND6"	"mt-Nd6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198727"	"ENSMUSG00000064370"	"MT-CYB"	"mt-Cytb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184895"	"ENSMUSG00000069036"	"SRY"	"Sry"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000067048"	"ENSMUSG00000069045"	"DDX3Y"	"Ddx3y"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000114374"	"ENSMUSG00000069044"	"USP9Y"	"Usp9y"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183878"	"ENSMUSG00000068457"	"UTY"	"Uty"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
